Validation_ratio : 0.05
Kerekített címkék:
                                         filename_id  ...  defocus_label
0  holodetect_heamato_2024-10-14_13-32-18.27__hlg...  ...            2.0
1  holodetect_heamato_2024-10-14_13-30-37.466__hl...  ...          -10.0
2  holodetect_heamato_2024-10-14_13-30-12.487__hl...  ...            7.0
3  holodetect_heamato_2024-10-14_13-30-52.625__hl...  ...            3.0
4  holodetect_heamato_2024-10-14_13-32-43.286__hl...  ...           -0.0

[5 rows x 3 columns]
data_array.shape : (1191, 2)
Torolt elemek szama a train-ben: 0  , Maradt : 1191
Torolt elemek szama a test-ben:  0   , Maradt : 130
train_image_tensors : torch.Size([1131, 3, 128, 128])
test_image_tensors : torch.Size([130, 3, 128, 128])
validate_image_tensors : torch.Size([60, 3, 128, 128])
Eredeti címke: [1.957815391 -9.985237259 7.492938751 ... -1.135871743 -4.206591786
 -8.879345336]
Átalakított címke: [722 0 1048 ... 547 366 62]
 scheduler = torch.optim.lr_scheduler.CosineAnnealingLR(optimizer, T_max=50)
 optimizer = optim.Adam(model.parameters(), lr=0.001)
 [0 - 40] - MobileNetV2Custom - B=8
Epoch [1/40], Train Loss: 7.8804, Val Accuracy: 0.1000
Epoch [38/40], Train Loss: 4.9101, Val Accuracy: 0.0500
Epoch [39/40], Train Loss: 4.7648, Val Accuracy: 0.0667
Epoch [40/40], Train Loss: 4.7038, Val Accuracy: 0.1167
 [40 - 45] - MobileNetV2Custom - B=8
Epoch [41/45], Train Loss: 4.6627, Val Accuracy: 0.0500
Epoch [42/45], Train Loss: 4.5450, Val Accuracy: 0.0167
Epoch [43/45], Train Loss: 4.5904, Val Accuracy: 0.0500
Epoch [44/45], Train Loss: 4.4779, Val Accuracy: 0.0333
Epoch [45/45], Train Loss: 4.4904, Val Accuracy: 0.0833
 [45 - 50] - MobileNetV2Custom - B=8
Epoch [46/50], Train Loss: 4.4426, Val Accuracy: 0.0667
Epoch [47/50], Train Loss: 4.4256, Val Accuracy: 0.0667
Epoch [48/50], Train Loss: 4.3731, Val Accuracy: 0.0500
Epoch [49/50], Train Loss: 4.3778, Val Accuracy: 0.0833
Epoch [50/50], Train Loss: 4.3962, Val Accuracy: 0.0833
 [50 - 55] - MobileNetV2Custom - B=8
Epoch [51/55], Train Loss: 4.4136, Val Accuracy: 0.0833
Epoch [52/55], Train Loss: 4.3713, Val Accuracy: 0.0667
Epoch [53/55], Train Loss: 4.3977, Val Accuracy: 0.0833
Epoch [54/55], Train Loss: 4.3521, Val Accuracy: 0.0667
Epoch [55/55], Train Loss: 4.3737, Val Accuracy: 0.0333
 [55 - 60] - MobileNetV2Custom - B=8
Epoch [56/60], Train Loss: 4.3998, Val Accuracy: 0.0833
Epoch [57/60], Train Loss: 4.2913, Val Accuracy: 0.0667
Epoch [58/60], Train Loss: 4.3529, Val Accuracy: 0.1500
Epoch [59/60], Train Loss: 4.3853, Val Accuracy: 0.0833
Epoch [60/60], Train Loss: 4.3157, Val Accuracy: 0.0833
 [60 - 65] - MobileNetV2Custom - B=8
Epoch [61/65], Train Loss: 4.2994, Val Accuracy: 0.0833
Epoch [62/65], Train Loss: 4.2391, Val Accuracy: 0.0333
Epoch [63/65], Train Loss: 4.1992, Val Accuracy: 0.0667
Epoch [64/65], Train Loss: 4.1513, Val Accuracy: 0.0333
Epoch [65/65], Train Loss: 4.1361, Val Accuracy: 0.0833
 [65 - 70] - MobileNetV2Custom - B=8
Epoch [66/70], Train Loss: 4.1023, Val Accuracy: 0.1333
Epoch [67/70], Train Loss: 3.8749, Val Accuracy: 0.1167
Epoch [68/70], Train Loss: 3.8290, Val Accuracy: 0.1000
Epoch [69/70], Train Loss: 3.6883, Val Accuracy: 0.0333
Epoch [70/70], Train Loss: 3.5439, Val Accuracy: 0.1167
 [70 - 75] - MobileNetV2Custom - B=8
Epoch [71/75], Train Loss: 3.2829, Val Accuracy: 0.1167
Epoch [72/75], Train Loss: 3.2130, Val Accuracy: 0.0667
Epoch [73/75], Train Loss: 3.0626, Val Accuracy: 0.0333
Epoch [74/75], Train Loss: 2.8978, Val Accuracy: 0.0500
Epoch [75/75], Train Loss: 2.7247, Val Accuracy: 0.0833
